tensor_id,layer_name,layer_type,shape,dtype,num_parameters,parameter_percentage,requires_grad,quantized
65,model.layers.7.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
66,model.layers.7.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
67,model.layers.7.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
68,model.layers.7.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
69,model.layers.7.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
70,model.layers.7.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
71,model.layers.7.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
72,model.layers.7.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
73,model.layers.8.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
74,model.layers.8.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
75,model.layers.8.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
76,model.layers.8.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
77,model.layers.8.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
78,model.layers.8.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
79,model.layers.8.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
80,model.layers.8.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
81,model.layers.8.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
82,model.layers.9.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
83,model.layers.9.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
84,model.layers.9.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
85,model.layers.9.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
86,model.layers.9.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
87,model.layers.9.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
88,model.layers.9.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
89,model.layers.9.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
90,model.layers.9.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
91,model.layers.10.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
92,model.layers.10.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
93,model.layers.10.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
94,model.layers.10.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
95,model.layers.10.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
96,model.layers.10.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
97,model.layers.10.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
98,model.layers.10.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
