tensor_id,layer_name,variance,skewness,kurtosis,coefficient_of_variation,dynamic_range
72,model.layers.7.post_attention_layernorm.weight,0.0004997464711777866,-3.26114559173584,19.253063201904297,0.09378417152043433,0.26769399642944336
73,model.layers.8.self_attn.q_proj.weight,3478.95263671875,0.11773425340652466,2.2212212085723877,0.48163692948707765,255.0
74,model.layers.8.self_attn.k_proj.weight,3429.294921875,0.11828956007957458,2.234117269515991,0.4778587227582676,255.0
75,model.layers.8.self_attn.v_proj.weight,3580.35888671875,0.10877732187509537,2.1735165119171143,0.4880360543117074,255.0
76,model.layers.8.self_attn.o_proj.weight,3608.887451171875,0.11098099499940872,2.1556477546691895,0.48996382715338016,255.0
77,model.layers.8.mlp.gate_proj.weight,3643.2177734375,0.10894279927015305,2.1348204612731934,0.49137209065153975,255.0
78,model.layers.8.mlp.up_proj.weight,3629.786376953125,0.1102629229426384,2.143620014190674,0.49128537573859654,255.0
79,model.layers.8.mlp.down_proj.weight,3629.615966796875,0.10992150753736496,2.1419260501861572,0.4912422648150103,255.0
80,model.layers.8.input_layernorm.weight,0.011718221940100193,5.043074607849121,34.333255767822266,0.3395650159106889,1.273378610610962
81,model.layers.8.post_attention_layernorm.weight,0.000924887543078512,-3.1090946197509766,14.856821060180664,0.11497216973798063,0.2949342131614685
82,model.layers.9.self_attn.q_proj.weight,3592.11376953125,0.11006172001361847,2.1622822284698486,0.48879301741105075,255.0
83,model.layers.9.self_attn.k_proj.weight,3572.53173828125,0.1109166219830513,2.1646299362182617,0.4869018186428606,255.0
84,model.layers.9.self_attn.v_proj.weight,3509.610595703125,0.1156563013792038,2.206965923309326,0.48380929012969515,255.0
85,model.layers.9.self_attn.o_proj.weight,3671.145263671875,0.10910280048847198,2.1225881576538086,0.49411401608610583,255.0
86,model.layers.9.mlp.gate_proj.weight,3645.546875,0.10800216346979141,2.133268117904663,0.4917645924233989,255.0
87,model.layers.9.mlp.up_proj.weight,3615.639892578125,0.11121900379657745,2.1499063968658447,0.49048498701252147,255.0
88,model.layers.9.mlp.down_proj.weight,3605.729248046875,0.11183621734380722,2.151496171951294,0.4899595822238978,255.0
89,model.layers.9.input_layernorm.weight,0.0037073628045618534,4.144190311431885,29.600440979003906,0.19384866403889903,0.8362350463867188
90,model.layers.9.post_attention_layernorm.weight,0.0007157308864407241,-3.143242359161377,16.887571334838867,0.09883477255279019,0.31659698486328125
91,model.layers.10.self_attn.q_proj.weight,3578.0380859375,0.11300455033779144,2.1686971187591553,0.4878080572406284,255.0
92,model.layers.10.self_attn.k_proj.weight,3573.785400390625,0.11114776134490967,2.1658473014831543,0.4874665605421458,255.0
93,model.layers.10.self_attn.v_proj.weight,3515.874267578125,0.11710410565137863,2.1997294425964355,0.48434276701770596,255.0
94,model.layers.10.self_attn.o_proj.weight,3686.150390625,0.10687795281410217,2.1155970096588135,0.4948857607634531,255.0
95,model.layers.10.mlp.gate_proj.weight,3646.024169921875,0.10813414305448532,2.1341044902801514,0.49145767760828013,255.0
96,model.layers.10.mlp.up_proj.weight,3621.396240234375,0.10993357002735138,2.1458580493927,0.49072905875635936,255.0
97,model.layers.10.mlp.down_proj.weight,3623.676513671875,0.10996648669242859,2.1422507762908936,0.49088411841684004,255.0
98,model.layers.10.input_layernorm.weight,0.0031689461320638657,3.6775894165039062,28.149566650390625,0.16912806048269324,0.8827013969421387
99,model.layers.10.post_attention_layernorm.weight,0.0009122248156927526,-2.7634975910186768,13.597967147827148,0.1080405840405559,0.3223280906677246
100,model.layers.11.self_attn.q_proj.weight,3522.09130859375,0.11425359547138214,2.193890333175659,0.4841756336976082,255.0
101,model.layers.11.self_attn.k_proj.weight,3560.75048828125,0.11181008070707321,2.167571544647217,0.48688516079135125,255.0
102,model.layers.11.self_attn.v_proj.weight,3487.30029296875,0.1179576963186264,2.221005439758301,0.48125065283891666,255.0
103,model.layers.11.self_attn.o_proj.weight,3655.384765625,0.10871012508869171,2.128011703491211,0.49303579161129446,255.0
104,model.layers.11.mlp.gate_proj.weight,3641.372802734375,0.10904686152935028,2.1351051330566406,0.49158185646277497,255.0
105,model.layers.11.mlp.up_proj.weight,3618.948974609375,0.1095636636018753,2.145444393157959,0.49069278752875783,255.0
106,model.layers.11.mlp.down_proj.weight,3613.671142578125,0.1114119216799736,2.146941661834717,0.4903766419247326,255.0
107,model.layers.11.input_layernorm.weight,0.00541431549936533,3.3067004680633545,22.019283294677734,0.18603614461281023,0.89208984375
108,model.layers.11.post_attention_layernorm.weight,0.0009131426340900362,-2.5960817337036133,13.235806465148926,0.10479065355190534,0.36168670654296875
109,model.layers.12.self_attn.q_proj.weight,3587.692138671875,0.11183468997478485,2.162057876586914,0.4887914111689918,255.0
110,model.layers.12.self_attn.k_proj.weight,3568.919189453125,0.10896889865398407,2.1640992164611816,0.4876873897061892,255.0
111,model.layers.12.self_attn.v_proj.weight,3499.544921875,0.12128289043903351,2.2206146717071533,0.4839215002938297,255.0
112,model.layers.12.self_attn.o_proj.weight,3684.779052734375,0.10997116565704346,2.1154353618621826,0.49512512509771656,255.0
113,model.layers.12.mlp.gate_proj.weight,3608.964111328125,0.10959627479314804,2.1497724056243896,0.4895279469232951,255.0
114,model.layers.12.mlp.up_proj.weight,3586.412109375,0.11110043525695801,2.160801649093628,0.4885090477114217,255.0
115,model.layers.12.mlp.down_proj.weight,3577.451171875,0.11201431602239609,2.162356376647949,0.4879757196405252,255.0
116,model.layers.12.input_layernorm.weight,0.004542765207588673,3.024489402770996,22.95931053161621,0.19607093464724104,0.81591796875
117,model.layers.12.post_attention_layernorm.weight,0.0006547322846017778,-2.4012575149536133,17.525867462158203,0.08556128522800178,0.44350337982177734
118,model.layers.13.self_attn.q_proj.weight,3585.5517578125,0.11237189173698425,2.1620914936065674,0.48856949313421344,255.0
119,model.layers.13.self_attn.k_proj.weight,3587.122314453125,0.10923337936401367,2.1595685482025146,0.48891617531583637,255.0
120,model.layers.13.self_attn.v_proj.weight,3524.597412109375,0.11050250381231308,2.198577404022217,0.48479230968496295,255.0
121,model.layers.13.self_attn.o_proj.weight,3666.112548828125,0.1081853061914444,2.121800422668457,0.49385571171515613,255.0
122,model.layers.13.mlp.gate_proj.weight,3602.42724609375,0.11034223437309265,2.151961088180542,0.48943952649301237,255.0
123,model.layers.13.mlp.up_proj.weight,3583.121337890625,0.11273021250963211,2.1620917320251465,0.48841424503847153,255.0
124,model.layers.13.mlp.down_proj.weight,3580.02734375,0.11191993206739426,2.1622731685638428,0.4880728114319385,255.0
125,model.layers.13.input_layernorm.weight,0.0057929810136556625,2.572603464126587,19.393192291259766,0.20171880765915823,0.890625
126,model.layers.13.post_attention_layernorm.weight,0.0005862107500433922,-2.2547616958618164,14.759912490844727,0.07741308651108826,0.377685546875
127,model.layers.14.self_attn.q_proj.weight,3570.14013671875,0.11279222369194031,2.170656442642212,0.4873411136459721,255.0
128,model.layers.14.self_attn.k_proj.weight,3548.603271484375,0.11395739763975143,2.174051284790039,0.48629195555897686,255.0
129,model.layers.14.self_attn.v_proj.weight,3447.287841796875,0.11606010049581528,2.2306840419769287,0.47910718845995476,255.0
130,model.layers.14.self_attn.o_proj.weight,3640.5029296875,0.11066239327192307,2.1337337493896484,0.49211256983344515,255.0
131,model.layers.14.mlp.gate_proj.weight,3580.281982421875,0.11306898295879364,2.161299705505371,0.4883577828144828,255.0
132,model.layers.14.mlp.up_proj.weight,3574.958740234375,0.11285591870546341,2.167228937149048,0.4877758230032358,255.0
133,model.layers.14.mlp.down_proj.weight,3550.948974609375,0.11287574470043182,2.1732025146484375,0.48620163970806335,255.0
134,model.layers.14.input_layernorm.weight,0.004241051618009806,2.700085163116455,18.172042846679688,0.1802064173350944,0.822265625
135,model.layers.14.post_attention_layernorm.weight,0.000665830506477505,-2.8805952072143555,17.320968627929688,0.07846330990022851,0.34375
136,model.layers.15.self_attn.q_proj.weight,3521.17578125,0.11591306328773499,2.194117307662964,0.484849456755168,255.0
137,model.layers.15.self_attn.k_proj.weight,3534.265625,0.11350926011800766,2.1843996047973633,0.4849310057461554,255.0
138,model.layers.15.self_attn.v_proj.weight,3194.59619140625,0.12881174683570862,2.3667945861816406,0.46273984017109715,255.0
139,model.layers.15.self_attn.o_proj.weight,3673.24951171875,0.10904810577630997,2.1215953826904297,0.49386194799417976,255.0
140,model.layers.15.mlp.gate_proj.weight,3592.02783203125,0.11251692473888397,2.1561529636383057,0.489141554775757,255.0
141,model.layers.15.mlp.up_proj.weight,3590.03955078125,0.11101166903972626,2.158813953399658,0.4888081065596448,255.0
142,model.layers.15.mlp.down_proj.weight,3587.927734375,0.1121220514178276,2.1584746837615967,0.4886553256748859,255.0
143,model.layers.15.input_layernorm.weight,0.0042411391623318195,2.0047600269317627,13.24162769317627,0.1555016765604608,0.839111328125
144,model.layers.15.post_attention_layernorm.weight,0.0006152811110951006,-4.441989898681641,33.501583099365234,0.07039378291278717,0.38232421875
145,model.layers.16.self_attn.q_proj.weight,3530.091552734375,0.11453445255756378,2.1900928020477295,0.48502822568038034,255.0
146,model.layers.16.self_attn.k_proj.weight,3559.937255859375,0.11062793433666229,2.1674892902374268,0.48714944414817757,255.0
147,model.layers.16.self_attn.v_proj.weight,3491.924072265625,0.11582987010478973,2.207770824432373,0.4825610992967034,255.0
148,model.layers.16.self_attn.o_proj.weight,3647.3798828125,0.10984856635332108,2.1323695182800293,0.4926782296028327,255.0
149,model.layers.16.mlp.gate_proj.weight,3620.635009765625,0.11136168986558914,2.1434214115142822,0.4910037016280365,255.0
150,model.layers.16.mlp.up_proj.weight,3614.564697265625,0.11033537238836288,2.1480395793914795,0.49017810340152657,255.0
151,model.layers.16.mlp.down_proj.weight,3579.279541015625,0.11207310855388641,2.161865711212158,0.48807317510983683,255.0
152,model.layers.16.input_layernorm.weight,0.004453263711184263,3.9405741691589355,28.608457565307617,0.1660477024973519,0.908935546875
153,model.layers.16.post_attention_layernorm.weight,0.0007143987459130585,-4.994377136230469,38.69881057739258,0.06839799111364649,0.4296875
154,model.layers.17.self_attn.q_proj.weight,3556.283203125,0.11417330801486969,2.176497220993042,0.48685003191510035,255.0
155,model.layers.17.self_attn.k_proj.weight,3523.83740234375,0.11864670366048813,2.189347743988037,0.48477736909703156,255.0
156,model.layers.17.self_attn.v_proj.weight,3419.847900390625,0.11639153212308884,2.2352395057678223,0.4774347738017883,255.0
157,model.layers.17.self_attn.o_proj.weight,3654.464111328125,0.10895079374313354,2.128075122833252,0.4930511254274598,255.0
158,model.layers.17.mlp.gate_proj.weight,3644.7919921875,0.11249618232250214,2.1340699195861816,0.4928728611077892,255.0
159,model.layers.17.mlp.up_proj.weight,3632.22900390625,0.11109133064746857,2.140887498855591,0.49159922259623734,255.0
160,model.layers.17.mlp.down_proj.weight,3618.665771484375,0.11066344380378723,2.1457135677337646,0.4907557427121073,255.0
161,model.layers.17.input_layernorm.weight,0.0057809301652014256,4.12460470199585,30.23101043701172,0.17619463376848396,1.03125
162,model.layers.17.post_attention_layernorm.weight,0.0009478099527768791,-5.180160045623779,38.529144287109375,0.07276856181702708,0.39306640625
163,model.layers.18.self_attn.q_proj.weight,3551.10205078125,0.11170169711112976,2.178804874420166,0.4861843760507855,255.0
164,model.layers.18.self_attn.k_proj.weight,3489.7841796875,0.1133563369512558,2.207960367202759,0.48204444894897736,255.0
165,model.layers.18.self_attn.v_proj.weight,3173.061279296875,0.13053946197032928,2.376493453979492,0.4607683828017211,255.0
166,model.layers.18.self_attn.o_proj.weight,3664.276611328125,0.11052009463310242,2.1265437602996826,0.4934802857704047,255.0
167,model.layers.18.mlp.gate_proj.weight,3660.302490234375,0.11262717097997665,2.127993583679199,0.49415658105699445,255.0
168,model.layers.18.mlp.up_proj.weight,3647.29296875,0.10949751734733582,2.132122278213501,0.4925476712900028,255.0
169,model.layers.18.mlp.down_proj.weight,3640.746337890625,0.11019840836524963,2.1344308853149414,0.492156836266929,255.0
170,model.layers.18.input_layernorm.weight,0.006648464128375053,3.8665733337402344,26.46234893798828,0.18588053939195637,1.037109375
171,model.layers.18.post_attention_layernorm.weight,0.0012315568746998906,-5.855752944946289,44.88849639892578,0.07590762139479668,0.43798828125
172,model.layers.19.self_attn.q_proj.weight,3547.7216796875,0.11357555538415909,2.1807870864868164,0.4860221026187142,255.0
173,model.layers.19.self_attn.k_proj.weight,3451.07861328125,0.11764900386333466,2.219379186630249,0.47899604632338433,255.0
174,model.layers.19.self_attn.v_proj.weight,3399.848388671875,0.12113310396671295,2.2550086975097656,0.47632431194015695,255.0
175,model.layers.19.self_attn.o_proj.weight,3644.2626953125,0.1102997213602066,2.132148265838623,0.4923659657051516,255.0
176,model.layers.19.mlp.gate_proj.weight,3660.515380859375,0.11269047856330872,2.1267874240875244,0.49452515063880204,255.0
177,model.layers.19.mlp.up_proj.weight,3651.2900390625,0.10970471054315567,2.131115436553955,0.4929415113161622,255.0
178,model.layers.19.mlp.down_proj.weight,3654.441162109375,0.11012820899486542,2.1304073333740234,0.49308463995452717,255.0
179,model.layers.19.input_layernorm.weight,0.008776265196502209,4.481510639190674,30.6009578704834,0.2153450851697119,1.10400390625
180,model.layers.19.post_attention_layernorm.weight,0.0013139263028278947,-6.433610916137695,52.270973205566406,0.07295390232274918,0.47216796875
181,model.layers.20.self_attn.q_proj.weight,3534.28857421875,0.1122804582118988,2.1882786750793457,0.48511578582479986,255.0
182,model.layers.20.self_attn.k_proj.weight,3411.6142578125,0.12036310136318207,2.242368698120117,0.47639540395136626,255.0
183,model.layers.20.self_attn.v_proj.weight,3549.400146484375,0.11013533920049667,2.183321714401245,0.4860559316349632,255.0
184,model.layers.20.self_attn.o_proj.weight,3675.758056640625,0.10804920643568039,2.11980938911438,0.494165385749552,255.0
185,model.layers.20.mlp.gate_proj.weight,3656.3330078125,0.11170792579650879,2.129525899887085,0.49358943778992637,255.0
186,model.layers.20.mlp.up_proj.weight,3649.46923828125,0.1104869395494461,2.1321961879730225,0.49290930425823964,255.0
187,model.layers.20.mlp.down_proj.weight,3635.10595703125,0.11066973954439163,2.1369881629943848,0.4917471547218155,255.0
188,model.layers.20.input_layernorm.weight,0.007388693746179342,5.353964805603027,39.7138786315918,0.19852293163486912,1.08984375
189,model.layers.20.post_attention_layernorm.weight,0.0013387041399255395,-6.616764068603516,54.293338775634766,0.06927528212314965,0.484375
190,model.layers.21.self_attn.q_proj.weight,3514.9697265625,0.11492253094911575,2.200028419494629,0.4838532011724719,255.0
191,model.layers.21.self_attn.k_proj.weight,3466.716064453125,0.11561878770589828,2.2184865474700928,0.4810062932987223,255.0
192,model.layers.21.self_attn.v_proj.weight,3529.48974609375,0.11520805954933167,2.193617343902588,0.485077082357397,255.0
193,model.layers.21.self_attn.o_proj.weight,3687.1455078125,0.10829728841781616,2.119568347930908,0.4950438004338805,255.0
194,model.layers.21.mlp.gate_proj.weight,3625.53271484375,0.11250322312116623,2.141037702560425,0.4917536964431885,255.0
195,model.layers.21.mlp.up_proj.weight,3644.7587890625,0.11013588309288025,2.133063554763794,0.49237814989367873,255.0
196,model.layers.21.mlp.down_proj.weight,3456.751953125,0.11658156663179398,2.2184560298919678,0.47983316505092305,255.0
197,model.layers.21.input_layernorm.weight,0.007260471116751432,5.264884948730469,39.2401237487793,0.1837474730155074,1.1123046875
198,model.layers.21.post_attention_layernorm.weight,0.0015290267765522003,-4.416290283203125,31.888708114624023,0.07050165057324616,0.61279296875
199,model.norm.weight,0.018626149743795395,-2.3220598697662354,28.360143661499023,0.07127192709412403,2.6796875
200,lm_head.weight,0.000611224677413702,-0.12737661600112915,4.674368858337402,63.39470240121304,0.865234375
